CHR	END	sim50	Raw
chr1	196262120	3	423
chr1	197348168	3	384
chr1	198392364	3	394
chr1	199409392	3	395
chr1	200440964	3	398
chr1	201464151	3	420
chr1	202527183	3	398
chr1	203557234	3	409
chr1	204577071	3	387
chr1	205594776	3	408
chr1	207096400	3	430
chr1	208178277	3	422
chr1	209198031	3	420
chr1	210226253	3	393
chr1	211267376	3	392
chr1	212296426	3	351
chr1	213336502	3	421
chr1	214361526	3	378
chr1	215384284	3	378
chr1	216416371	3	417
chr1	217431882	3	377
chr1	218460053	3	416
chr1	219482536	3	412
chr1	220539233	3	408
chr1	221564790	3	395
chr1	222593283	3	398
chr1	223680667	3	421
chr1	224883376	3	415
chr1	225925914	3	431
chr1	226950315	3	381
chr1	227992173	3	394
chr1	229071640	3	399
chr1	230094946	3	389
chr1	231114192	3	410
chr1	232143372	3	414
chr1	233169386	3	414
chr1	234195081	3	397
chr1	235288168	3	411
chr1	236313777	3	396
chr1	237349171	3	409
chr1	238373937	3	370
chr1	239392159	3	406
chr1	240417216	3	402
chr1	241436609	3	435
chr1	242496065	2	305
chr1	243722048	2	256
chr1	244752401	2	282
chr1	245773906	2	265
chr1	246817227	2	275
chr1	247872779	2	266
chr1	249250621	2	263
chr2	1047047	2	233
chr2	2102592	2	244
chr2	3128518	2	242
chr2	4218643	2	262
chr2	5351322	2	287
chr2	6379665	2	256
chr2	7392695	2	269
chr2	8413665	2	260
chr2	9433238	2	275
chr2	10452660	2	239
chr2	11476813	2	289
chr2	12496986	2	279
chr2	13525753	2	265
chr2	14572569	2	293
chr2	15608330	2	286
chr2	16679029	2	255
chr2	17707055	2	281
chr2	18736315	2	519
chr2	19808816	2	490
chr2	20826080	2	270
chr2	21884975	2	270
chr2	22908081	2	259
chr2	23933481	2	261
chr2	24963699	2	245
chr2	25986549	2	280
chr2	27003037	2	264
chr2	28025934	2	249
chr2	29041923	2	252
chr2	30060566	2	271
chr2	31086182	2	269
chr2	32127082	2	291
chr2	33155270	2	259
chr2	34183897	2	246
chr2	35219554	2	293
chr2	36263143	2	283
chr2	37299375	2	271
chr2	38332469	2	237
chr2	39354553	2	265
chr2	40384029	2	265
chr2	41408846	2	269
chr2	42436691	2	299
chr2	43458107	2	243
chr2	44484562	2	269
chr2	45515321	2	272
chr2	46528093	2	249
chr2	47545865	2	265
chr2	48569079	2	270
chr2	49610762	2	273
chr2	50627974	2	300
chr2	51646259	2	256
chr2	52680389	2	258
chr2	53708623	2	279
chr2	54729559	2	263
chr2	55747856	2	309
chr2	56796656	2	251
chr2	57859413	2	260
chr2	58891646	2	276
chr2	59920490	2	333
chr2	60955353	2	394
chr2	61973460	2	338
chr2	63008088	2	279
chr2	64046135	2	289
chr2	65066050	2	257
chr2	66085401	2	311
chr2	67147412	2	280
chr2	68178249	2	282
chr2	69210019	2	280
chr2	70224431	2	271
chr2	71254226	2	244
chr2	72304133	2	229
chr2	73333086	2	270
chr2	74408081	2	290
chr2	75430049	2	247
chr2	76462419	2	266
chr2	77526314	2	276
chr2	78577464	2	291
chr2	79614361	2	253
chr2	80638100	2	271
chr2	81659501	2	273
chr2	82682538	2	256
chr2	83709032	2	258
chr2	84753312	2	264
chr2	85779908	2	269
chr2	86796909	2	265
chr2	88865477	4	502
chr2	96782944	4	357
chr2	98161455	4	540
chr2	99241205	4	533
chr2	100272766	4	574
chr2	101309130	4	501
chr2	102328482	4	530
chr2	103349149	4	546
chr2	104373073	4	488
chr2	105383552	4	516
chr2	106403690	4	536
chr2	107541604	4	558
chr2	108638831	4	524
chr2	109727599	4	542
chr2	111630363	4	554
chr2	113034519	4	573
chr2	114164525	4	526
chr2	115393594	4	559
chr2	116422360	4	526
chr2	117455242	4	500
chr2	118503554	4	528
chr2	119550916	4	528
chr2	120577145	4	552
chr2	121598142	4	540
chr2	122611632	4	611
chr2	123647078	4	570
chr2	124673440	4	526
chr2	125707935	4	538
chr2	126734195	4	556
chr2	127760623	4	548
chr2	128777011	4	523
chr2	129810637	4	506
chr2	130956015	4	547
chr2	132485946	4	522
chr2	133746542	4	554
chr2	134783009	4	527
chr2	135823939	4	571
chr2	136860339	4	529
chr2	137883697	4	520
chr2	138923062	4	552
chr2	139944731	4	539
chr2	140968865	4	562
chr2	141986373	4	538
chr2	142998533	4	532
chr2	144029214	4	494
chr2	145057055	4	547
chr2	146071737	4	527
chr2	147087147	4	548
chr2	148110698	4	549
chr2	149155133	4	503
chr2	150279057	4	512
chr2	151324900	4	506
chr2	152336449	4	521
chr2	153388825	4	503
chr2	154423970	4	532
chr2	155454793	4	551
chr2	156487875	4	514
chr2	157518933	4	530
chr2	158570018	4	549
chr2	159607337	4	540
chr2	160640247	4	531
chr2	161680990	4	502
chr2	162723216	4	524
chr2	163742341	4	547
chr2	164757249	4	625
chr2	165777891	4	652
chr2	166811886	4	656
chr2	167851277	4	536
chr2	168894944	4	505
chr2	169912060	4	570
chr2	170956694	4	540
chr2	171976711	4	506
chr2	173001390	4	529
chr2	174031557	4	499
chr2	175053910	4	572
chr2	176081026	4	530
chr2	177126486	4	530
chr2	178145257	4	535
chr2	179178417	4	557
chr2	180224282	4	557
chr2	181248603	4	510
chr2	182277524	4	541
chr2	183310936	5	713
chr2	184348481	5	584
chr2	185388251	5	802
chr2	186410862	5	806
chr2	187462741	5	561
chr2	188484206	4	522
chr2	189505423	4	521
chr2	190533103	4	513
chr2	191558874	4	539
chr2	192580583	4	559
chr2	193611893	4	516
chr2	194653979	4	572
chr2	195691852	4	544
chr2	196744297	2	353
chr2	197777205	2	267
chr2	198824834	2	280
chr2	199844954	2	253
chr2	200867865	2	254
chr2	201890431	2	252
chr2	202930701	2	278
chr2	203957777	2	394
chr2	204976034	2	417
chr2	205999006	2	393
chr2	207014624	2	360
chr2	208055304	2	260
chr2	209072161	2	236
chr2	210144788	2	277
chr2	211169950	2	287
chr2	212205141	2	276
chr2	213225646	2	256
chr2	214251169	2	286
chr2	215280542	2	259
chr2	216314905	2	276
chr2	217338949	2	268
chr2	218348339	2	244
chr2	219368237	2	274
chr2	220383183	2	270
chr2	221405101	2	249
chr2	222416396	2	284
chr2	223439243	2	189
chr2	224467324	2	129
chr2	225482508	2	258
chr2	226505520	2	256
chr2	227526228	2	290
chr2	228546599	2	273
chr2	229593226	2	269
chr2	230617459	2	293
chr2	231647281	2	259
chr2	232665401	2	252
chr2	233722633	2	270
chr2	234802718	2	255
chr2	235830765	2	273
chr2	236841399	2	235
chr2	237861396	2	281
chr2	238880737	2	262
chr2	239928206	2	260
chr2	240971111	2	292
chr2	242015018	2	260
chr2	243199373	2	270
chr3	1117361	2	269
chr3	2158602	2	256
chr3	3186869	2	254
chr3	4236110	2	278
chr3	5272457	2	264
chr3	6315029	2	289
chr3	7362154	2	255
chr3	8389092	2	262
chr3	9427095	2	254
chr3	10462110	2	274
chr3	11483178	2	274
chr3	12521202	2	276
chr3	13544498	2	272
chr3	14576711	2	254
chr3	15621677	2	244
chr3	16645955	2	299
chr3	17686296	2	271
chr3	18723342	2	275
chr3	19790275	2	261
chr3	20829589	2	277
chr3	21871557	2	274
chr3	22928808	2	306
chr3	23967192	2	279
chr3	25003059	2	282
chr3	26026061	2	274
chr3	27101104	2	248
chr3	28135099	2	300
chr3	29175579	2	273
chr3	30205158	2	254
chr3	31229714	2	254
chr3	32249642	2	252
chr3	33277936	2	276
chr3	34320494	2	268
chr3	35368528	2	261
chr3	36415461	2	276
chr3	37443147	2	269
chr3	38486374	2	277
chr3	39519196	2	270
chr3	40583602	2	252
chr3	41625715	2	268
chr3	42672707	2	285
chr3	43714581	2	259
chr3	44747066	2	277
chr3	45771132	2	271
chr3	46799848	2	282
chr3	47836785	2	266
chr3	48866582	2	163
chr3	49901338	2	280
chr3	50932090	2	297
chr3	51994958	2	271
chr3	53011752	2	262
chr3	54045695	2	289
chr3	55087418	2	234
chr3	56118837	2	275
chr3	57151287	2	272
chr3	58185109	2	271
chr3	59244845	2	290
chr3	60270947	2	277
chr3	61311596	2	271
chr3	62334118	2	262
chr3	63373737	2	273
chr3	64402014	2	282
chr3	65433586	2	260
chr3	66558506	2	255
chr3	67600847	2	240
chr3	68627640	2	252
chr3	69662622	2	278
chr3	70696016	2	288
chr3	71721873	2	257
chr3	72736695	2	266
chr3	73766451	2	276
chr3	74804056	2	216
chr3	75959034	2	275
chr3	76994958	2	219
chr3	78023788	2	287
chr3	79062573	2	261
chr3	80090709	2	252
chr3	81133019	2	261
chr3	82162240	2	254
chr3	83201822	2	264
chr3	84228230	2	279
chr3	85263563	2	285
chr3	86297161	2	261
chr3	87321824	2	270
chr3	88361855	2	244
chr3	89408847	3	553
chr3	94548574	3	382
chr3	95592544	3	417
chr3	96613912	3	386
chr3	97651372	3	404
chr3	98687447	3	407
chr3	99730252	3	395
chr3	100762316	3	388
chr3	101810418	3	393
chr3	102830333	3	436
chr3	103864797	3	395
chr3	104875173	3	366
chr3	105899153	3	267
chr3	106929807	1	141
chr3	107951184	1	133
chr3	108990533	1	123
chr3	110032258	1	124
chr3	111063562	1	143
chr3	112103150	1	114
chr3	113143202	1	138
chr3	114165832	1	115
chr3	115184739	1	131
chr3	116218080	1	147
chr3	117239293	1	132
chr3	118256816	1	142
chr3	119300216	1	129
chr3	120326827	1	153
chr3	121391043	1	129
chr3	122428701	1	191
chr3	123447087	3	383
chr3	124475808	3	431
chr3	125530325	4	488
chr3	126614693	4	570
chr3	127625802	4	550
chr3	128638164	4	529
chr3	129672195	4	531
chr3	130785116	4	545
chr3	131826035	4	528
chr3	132883927	4	517
chr3	133923176	4	489
chr3	134943390	4	508
chr3	135997581	4	565
chr3	137045981	4	522
chr3	138094414	4	538
chr3	139132018	4	560
chr3	140154153	4	539
chr3	141184020	4	568
chr3	142217785	4	549
chr3	143235874	3	435
chr3	144255555	3	400
chr3	145282963	3	448
chr3	146318164	1	162
chr3	147343141	1	122
chr3	148376197	1	146
chr3	149393448	1	127
chr3	150412069	1	118
chr3	151440471	1	136
chr3	152459181	1	145
chr3	153494807	1	149
chr3	154532241	1	135
chr3	155579462	1	145
chr3	156605092	2	267
chr3	157638565	2	269
chr3	158687019	2	259
chr3	159735234	2	246
chr3	160760014	2	248
chr3	161780879	2	274
chr3	162808972	2	275
chr3	163852942	2	266
chr3	164877183	2	277
chr3	165915998	2	263
chr3	166949097	2	250
chr3	167975386	2	303
chr3	168996287	3	434
chr3	170018988	3	405
chr3	171057764	3	401
chr3	172078938	3	394
chr3	173094884	3	388
chr3	174114029	3	418
chr3	175144283	3	373
chr3	176178932	2	274
chr3	177208671	2	255
chr3	178225238	2	246
chr3	179269950	2	279
chr3	180302538	2	253
chr3	181325510	2	311
chr3	182342075	2	266
chr3	183364779	3	364
chr3	184379470	3	392
chr3	185405328	3	385
chr3	186420888	3	376
chr3	187455458	2	262
chr3	188479747	2	234
chr3	189504062	2	289
chr3	190518910	2	267
chr3	191545411	2	260
chr3	192569668	2	260
chr3	193594520	2	269
chr3	194611679	2	274
chr3	195765182	2	271
chr3	196794668	2	266
chr3	198022430	2	276
chr4	1074365	2	291
chr4	2166056	2	270
chr4	3194156	2	279
chr4	4346356	2	267
chr4	5381721	2	248
chr4	6427646	2	263
chr4	7455454	2	276
chr4	8475212	2	258
chr4	9896553	2	278
chr4	10926613	3	450
chr4	11991927	3	519
chr4	13040942	3	559
chr4	14080157	3	372
chr4	15129911	3	287
chr4	16167636	3	263
chr4	17208994	3	276
chr4	18243548	3	255
chr4	19280764	3	366
chr4	20319068	3	411
chr4	21362829	3	378
chr4	22404481	3	399
chr4	23431656	3	408
chr4	24465510	3	384
chr4	25493094	3	428
chr4	26514833	3	390
chr4	27568479	3	401
chr4	28590173	3	387
chr4	29612651	3	372
chr4	30635836	3	387
chr4	31654567	3	419
chr4	32695840	3	400
chr4	33722702	3	380
chr4	34750177	3	413
chr4	35777498	3	411
chr4	36802272	3	435
chr4	37839703	3	420
chr4	38875717	3	423
chr4	39906634	3	402
chr4	40935501	3	429
chr4	41965150	3	382
chr4	42993099	3	380
chr4	44039460	3	365
chr4	45082568	3	255
chr4	46119488	3	259
chr4	47158764	3	277
chr4	48196011	3	556
chr4	53746246	3	272
chr4	54821135	3	292
chr4	55850822	3	351
chr4	56888793	3	428
chr4	57917486	3	404
chr4	58976004	2	286
chr4	60062394	2	298
chr4	61099833	2	273
chr4	62135142	2	275
chr4	63169742	2	287
chr4	64215113	2	280
chr4	65245711	2	285
chr4	66293857	2	273
chr4	67327423	2	268
chr4	68368068	2	251
chr4	69409787	2	285
chr4	70512879	2	289
chr4	71560216	2	256
chr4	72604147	2	270
chr4	73654154	2	244
chr4	74685033	2	279
chr4	75816035	2	248
chr4	76869135	2	274
chr4	77888316	2	245
chr4	78921530	2	260
chr4	79970764	2	260
chr4	81013158	2	236
chr4	82040692	2	262
chr4	83078271	2	361
chr4	84109027	2	271
chr4	85140279	2	259
chr4	86170845	2	240
chr4	87217509	2	268
chr4	88248045	2	252
chr4	89290150	2	291
chr4	90318848	2	273
chr4	91347660	2	268
chr4	92394771	2	259
chr4	93442037	2	261
chr4	94460933	2	438
chr4	95520166	5	614
chr4	96551126	5	692
chr4	97585540	5	687
chr4	98627896	3	392
chr4	99677221	3	411
chr4	100719410	3	415
chr4	101744241	3	402
chr4	102770487	3	390
chr4	103805765	3	449
chr4	104888599	3	410
chr4	105929454	3	384
chr4	106965873	3	406
chr4	108022444	3	394
chr4	109048389	5	507
chr4	110071334	5	663
chr4	111101989	5	659
chr4	112151430	5	692
chr4	113203185	5	713
chr4	114228670	5	636
chr4	115259687	5	705
chr4	116277398	5	655
chr4	117298597	5	640
chr4	118328500	5	648
chr4	119405398	5	432
chr4	120621611	3	390
chr4	121658702	3	417
chr4	122683702	3	389
chr4	123717215	3	400
chr4	124753352	3	376
chr4	125784499	3	380
chr4	126804678	3	423
chr4	127831458	3	405
chr4	128894374	3	418
chr4	129923700	3	392
chr4	130966860	3	361
chr4	131984885	3	371
chr4	133160657	3	381
chr4	134188998	3	441
chr4	135213703	3	389
chr4	136250282	3	404
chr4	137272435	3	400
chr4	138280460	3	384
chr4	139305601	3	382
chr4	140334404	3	409
chr4	141359342	3	407
chr4	142400513	3	393
chr4	143434137	3	414
chr4	144473030	3	402
chr4	145634037	3	378
chr4	146684497	3	399
chr4	147726773	3	411
chr4	148756298	2	287
chr4	149782951	2	230
chr4	150821420	2	286
chr4	151846663	2	278
chr4	152871753	2	281
chr4	153888491	2	250
chr4	154902897	2	257
chr4	155923978	2	272
chr4	156942454	2	284
chr4	157967052	2	263
chr4	158997056	2	260
chr4	160044514	2	293
chr4	161086379	2	270
chr4	162121646	2	251
chr4	163140213	4	461
chr4	164165832	4	528
chr4	165213013	4	538
chr4	166289082	4	559
chr4	167308509	4	521
chr4	168371013	4	547
chr4	169399460	4	533
chr4	170413807	4	556
chr4	171473974	4	555
chr4	172495332	4	530
chr4	173514226	4	547
chr4	174530566	4	504
chr4	175554507	2	268
chr4	176586687	2	249
chr4	177599037	2	258
chr4	178616770	2	255
chr4	179643923	2	295
chr4	180671637	2	271
chr4	181684335	2	257
chr4	182711997	2	286
chr4	183733231	2	252
chr4	184761970	2	257
chr4	185782688	2	259
chr4	186797547	2	271
chr4	187832809	2	280
chr4	188871081	2	245
chr4	189906346	2	218
chr4	191154276	2	241
chr5	1176417	2	267
chr5	2232645	2	280
chr5	3249100	2	255
chr5	4276122	2	282
chr5	5308885	2	268
chr5	6328138	2	298
chr5	7390435	2	273
chr5	8425297	2	365
chr5	9459981	2	460
chr5	10490141	2	267
chr5	11510051	2	268
chr5	12536989	2	302
chr5	13563858	2	281
chr5	14584096	2	247
chr5	15622192	2	257
chr5	16663033	2	277
chr5	17781896	2	266
chr5	18817069	2	270
chr5	19847803	2	261
chr5	21010119	2	255
chr5	22242383	2	251
chr5	23267224	2	262
chr5	24292028	2	287
chr5	25329995	2	279
chr5	26362431	2	265
chr5	27390273	2	265
chr5	28421298	2	265
chr5	29474134	2	283
chr5	30516024	2	273
chr5	31542216	2	269
chr5	32569528	2	253
chr5	33625206	2	285
chr5	34854643	2	251
chr5	35899533	2	277
chr5	36934706	2	278
chr5	37987898	2	266
chr5	39015413	2	271
chr5	40056168	2	277
chr5	41100698	2	227
chr5	42153039	2	115
chr5	43211147	2	226
chr5	44285803	2	274
chr5	45327741	2	579
chr5	50525829	2	269
chr5	51584495	2	257
chr5	52629615	2	265
chr5	53666122	2	277
chr5	54701728	2	278
chr5	55738284	2	240
chr5	56765704	2	261
chr5	57815025	2	289
chr5	58854069	2	261
chr5	59895504	2	260
chr5	60937307	2	256
chr5	61981760	2	272
chr5	63046432	2	280
chr5	64097510	2	266
chr5	65130553	2	263
chr5	66174173	2	251
chr5	67230661	2	274
chr5	68259386	2	266
chr5	71088042	2	280
chr5	72115571	2	254
chr5	73136048	2	278
chr5	74161557	2	273
chr5	75223262	2	244
chr5	76265255	2	277
chr5	77300307	2	266
chr5	78355555	2	248
chr5	79392188	2	266
chr5	80433454	2	286
chr5	81479861	2	283
chr5	82523996	2	298
chr5	83563579	2	262
chr5	84586653	2	251
chr5	85642856	2	302
chr5	86680646	2	250
chr5	87722427	2	277
chr5	88751472	2	252
chr5	89795010	2	249
chr5	90834332	2	280
chr5	91923438	2	244
chr5	92963367	2	285
chr5	93993123	2	263
chr5	95018840	2	289
chr5	96050922	2	463
chr5	97093660	4	559
chr5	98151529	4	522
chr5	99286132	4	517
chr5	100414974	4	581
chr5	101464107	4	526
chr5	102518114	4	548
chr5	103546170	4	569
chr5	104585665	4	656
chr5	105608771	4	673
chr5	106654923	4	648
chr5	107666236	4	685
chr5	108709359	7	864
chr5	109747005	7	909
chr5	110803828	7	914
chr5	111846649	7	966
chr5	112870994	7	903
chr5	113907245	7	911
chr5	114952587	7	949
chr5	115985389	7	965
chr5	117019248	7	934
chr5	118055565	7	984
chr5	119094898	7	957
chr5	120147236	7	939
chr5	121190116	7	915
chr5	122242587	7	948
chr5	123277182	7	942
chr5	124302462	7	966
chr5	125337247	7	925
chr5	126381565	7	924
chr5	127424376	7	911
chr5	128456935	7	994
chr5	129497914	7	890
chr5	130564997	7	960
chr5	131606344	7	832
chr5	132642485	5	668
chr5	133663290	5	637
chr5	134688165	5	679
chr5	135707457	5	597
chr5	136750104	5	714
chr5	137788201	5	598
chr5	138872421	3	413
chr5	139894590	3	381
chr5	140941049	3	407
chr5	141962909	3	374
chr5	142978990	3	378
chr5	144019341	3	407
chr5	145072604	3	374
chr5	146100297	3	420
chr5	147130720	3	364
chr5	148186108	3	398
chr5	149210847	3	434
chr5	150230354	3	412
chr5	151253788	3	401
chr5	152326233	3	442
chr5	153375566	3	399
chr5	154395545	3	417
chr5	155483794	3	408
chr5	156529427	3	376
chr5	157554517	3	422
chr5	158580271	3	410
chr5	159601817	3	386
chr5	160643527	3	444
chr5	161674146	3	423
chr5	162728836	3	402
chr5	163754521	3	401
chr5	164777068	3	378
chr5	165803722	3	419
chr5	166829575	2	305
chr5	167848226	2	271
chr5	168870480	2	262
chr5	169898143	2	246
chr5	170937343	2	245
chr5	171954503	2	254
chr5	172976828	2	292
chr5	173999185	2	261
chr5	175023972	2	290
chr5	176278073	2	254
chr5	177577451	2	285
chr5	178611885	2	293
chr5	179661154	2	206
chr5	180915260	2	279
chr6	1176199	2	250
chr6	2211032	2	261
chr6	3253250	2	239
chr6	4280636	2	277
chr6	5311489	2	269
chr6	6367051	2	264
chr6	7393680	2	291
chr6	8420125	2	265
chr6	9454387	2	278
chr6	10494841	2	280
chr6	11522899	2	268
chr6	12545318	2	269
chr6	13572630	2	292
chr6	14599686	3	390
chr6	15619934	3	416
chr6	16652136	3	402
chr6	17679693	3	403
chr6	18707258	3	401
chr6	19756353	3	380
chr6	20787396	3	395
chr6	21815165	3	385
chr6	22848427	3	365
chr6	23895039	3	373
chr6	24930926	3	412
chr6	25954075	3	423
chr6	27190955	3	414
chr6	28224411	3	399
chr6	29272332	3	410
chr6	30312987	3	447
chr6	31351807	3	369
chr6	32459832	3	450
chr6	33492215	3	387
chr6	34518910	2	268
chr6	35549315	2	266
chr6	36572447	2	277
chr6	37595665	2	288
chr6	38617437	2	367
chr6	39648593	3	405
chr6	40669857	3	426
chr6	41693740	3	418
chr6	42719851	3	393
chr6	43748689	3	387
chr6	44780717	3	361
chr6	45835886	2	291
chr6	46869787	2	250
chr6	47902615	2	261
chr6	48943419	2	266
chr6	49987591	2	256
chr6	51028453	2	256
chr6	52081309	2	264
chr6	53127067	2	259
chr6	54158041	2	269
chr6	55202944	2	242
chr6	56245004	2	270
chr6	57292041	2	486
chr6	63004879	2	266
chr6	64046553	2	261
chr6	65087158	2	279
chr6	66135992	2	263
chr6	67170238	2	256
chr6	68206356	2	251
chr6	69234562	2	293
chr6	70277733	2	287
chr6	71304918	2	255
chr6	72353231	2	287
chr6	73394569	2	248
chr6	74430622	2	128
chr6	75504458	2	198
chr6	76535985	2	286
chr6	77580768	2	219
chr6	78657194	2	278
chr6	79706619	2	279
chr6	80736991	2	258
chr6	81800371	2	291
chr6	82855063	2	261
chr6	83899181	2	285
chr6	84946243	2	263
chr6	85991027	2	525
chr6	87071412	2	530
chr6	88144305	2	253
chr6	89179382	2	292
chr6	90208361	2	265
chr6	91225203	2	274
chr6	92250049	2	271
chr6	93267415	2	272
chr6	94292977	2	228
chr6	95325289	2	256
chr6	96532473	2	260
chr6	97554081	1	161
chr6	98582186	1	144
chr6	99615026	1	130
chr6	100668436	1	136
chr6	101705590	1	140
chr6	102735137	1	123
chr6	103766522	1	133
chr6	104803448	1	153
chr6	105847922	1	111
chr6	106871209	1	128
chr6	107895138	1	139
chr6	108927811	1	122
chr6	109965358	1	160
chr6	111002858	1	126
chr6	112024493	1	164
chr6	113057950	2	272
chr6	114093663	2	273
chr6	115115736	2	245
chr6	116174756	2	294
chr6	117215647	2	280
chr6	118263148	2	290
chr6	119288638	2	251
chr6	120305232	2	247
chr6	121357945	2	240
chr6	122393718	1	146
chr6	123428249	1	125
chr6	124448325	1	117
chr6	125492447	1	135
chr6	126519839	1	117
chr6	127561146	1	135
chr6	128585046	1	118
chr6	129625174	1	112
chr6	130640518	1	144
chr6	131677559	1	116
chr6	132713963	1	140
chr6	133739531	1	155
chr6	134763391	1	141
chr6	135777332	1	141
chr6	136808784	1	139
chr6	137823585	1	142
chr6	138842908	1	180
chr6	139867636	2	254
chr6	140885360	2	254
chr6	141911211	2	265
chr6	142958004	2	280
chr6	143973965	2	258
chr6	144990679	2	246
chr6	146018270	2	252
chr6	147050138	2	247
chr6	148063470	2	259
chr6	149090615	2	260
chr6	150104773	2	250
chr6	151135682	2	284
chr6	152154772	2	251
chr6	153180808	2	293
chr6	154202846	2	261
chr6	155218902	2	272
chr6	156231714	2	279
chr6	157266337	2	280
chr6	158380564	2	258
chr6	159405210	2	276
chr6	160430488	2	308
chr6	161507859	2	252
chr6	162523545	2	272
chr6	163545080	2	260
chr6	164554933	2	275
chr6	165593659	2	279
chr6	166614340	2	258
chr6	167665862	2	272
chr6	168812962	2	255
chr6	169850944	2	279
chr6	171115067	2	284
chr7	1137763	2	250
chr7	2171997	2	267
chr7	3207949	2	302
chr7	4226939	2	264
chr7	5283223	2	296
chr7	6401863	2	273
chr7	7564798	2	244
chr7	8592617	2	246
chr7	9629490	2	280
chr7	10668194	2	251
chr7	11691919	2	277
chr7	12720813	2	251
chr7	13747729	2	266
chr7	14794719	2	282
chr7	15812830	2	264
chr7	16844181	2	264
chr7	17871487	2	272
chr7	18887148	3	363
chr7	19938855	3	424
chr7	20971324	3	396
chr7	21992314	3	409
chr7	23039426	3	409
chr7	24090591	3	368
chr7	25126564	3	420
chr7	26156734	3	411
chr7	27186766	3	398
chr7	28213797	3	323
chr7	29227930	3	319
chr7	30284514	2	238
chr7	31319213	2	277
chr7	32363338	2	264
chr7	33485180	2	271
chr7	34525770	2	275
chr7	35672117	2	260
chr7	36726068	2	266
chr7	37759739	2	280
