CHR	END	MAPPABLE	COUNT	s_5_1_sequence.WB20	Raw
chr1	103252470	1	1	5	169
chr1	103800000	1	1.021118	5	133.187347
chr1	104818846	1	1	5	163
chr1	105337819	1	1	5	181
chr1	105861965	1	1	5	154
chr1	106376978	1	1	5	131
chr1	106892300	1	1	5	124
chr1	107397555	1	1	5	157
chr1	107905028	1	1	5	173
chr1	108415726	1	1	5	180
chr1	108900000	1	0.77218	5	189.075089
chr1	109535632	1	1	5	172
chr1	110043327	1	1	5	126
chr1	110570838	1	1	5	146
chr1	111074032	1	1	5	250
chr1	111582460	1	1	5	227
chr1	112102338	1	1	5	173
chr1	112607272	1	1	5	266
chr1	113133084	1	1	5	175
chr1	113651342	1	1	5	179
chr1	114182661	1	1	5	177
chr1	114687425	1	1	5	173
chr1	115200756	1	1	5	226
chr1	115720563	1	1	5	148
chr1	116230284	1	1	5	208
chr1	116741758	1	1	5	185
chr1	117271575	1	1	5	223
chr1	117782984	1	1	5	167
chr1	118301371	1	1	5	194
chr1	118809559	1	1	5	188
chr1	119344789	1	1	5	209
chr1	119870596	1	1	5	190
chr1	120600000	1	1.302208	5	180.462723
chr1	145200000	1	0.521668	5	414.056427
chr1	145800000	1	0.683362	5	219.502991
chr1	147045363	1	1	5	196
chr1	147400000	1	0.687986	5	234.016388
chr1	150350063	1	1	5	147
chr1	150865651	1	1	5	146
chr1	151374707	1	1	5	125
chr1	151884026	1	1	5	180
chr1	152421418	1	1	5	231
chr1	152947650	1	1	5	225
chr1	153473837	1	1	5	270
chr1	153982371	1	1	5	184
chr1	154495412	1	1	5	215
chr1	155004329	1	1	5	225
chr1	155520019	1	1	5	201
chr1	156061001	1	1	5	189
chr1	156571185	1	1	6	263
chr1	157076056	1	1	6	231
chr1	157598553	1	1	6	287
chr1	158107101	1	1	6	266
chr1	158639409	1	1	6	213
chr1	159162565	1	1	6	219
chr1	159697052	1	1	6	269
chr1	160207207	1	1	6	259
chr1	160723813	1	1	6	239
chr1	161239986	1	1	6	292
chr1	161882089	1	1	6	262
chr1	162388216	1	1	6	227
chr1	162922113	1	1	6	253
chr1	163430957	1	1	6	260
chr1	163950346	1	1	6	257
chr1	164473535	1	1	6	201
chr1	164977031	1	1	6	215
chr1	165487837	1	1	6	268
chr1	166003182	1	1	6	238
chr1	166538026	1	1	6	277
chr1	167050458	1	1	6	223
chr1	167552988	1	1	6	247
chr1	168059868	1	1	6	237
chr1	168579409	1	1	6	316
chr1	169091068	1	1	6	248
chr1	169608866	1	1	6	217
chr1	170131096	1	1	6	160
chr1	170646859	1	1	6	266
chr1	171158570	1	1	6	266
chr1	171678475	1	1	6	243
chr1	172193672	1	1	6	233
chr1	172710272	1	1	6	260
chr1	173234861	1	1	6	236
chr1	173754941	1	1	6	246
chr1	174270120	1	1	6	242
chr1	174811790	1	1	6	258
chr1	175327001	1	1	6	225
chr1	175832909	1	1	6	325
chr1	176361073	1	1	6	237
chr1	176870110	1	1	6	264
chr1	177379447	1	1	6	320
chr1	177904877	1	1	6	281
chr1	178418481	1	1	6	225
chr1	178931021	1	1	6	227
chr1	179447555	1	1	6	190
chr1	179962316	1	1	6	207
chr1	180474570	1	1	6	201
chr1	180992969	1	1	6	191
chr1	181505155	1	1	6	219
chr1	182014005	1	1	6	277
chr1	182521030	1	1	6	237
chr1	183027969	1	1	6	243
chr1	183533851	1	1	6	259
chr1	184047735	1	1	6	252
chr1	184562006	1	1	6	291
chr1	185078017	1	1	6	205
chr1	185594627	1	1	6	233
chr1	186116474	1	1	6	229
chr1	186636963	1	1	6	213
chr1	187146491	1	1	6	206
chr1	187665915	1	1	6	205
chr1	188183066	1	1	6	180
chr1	188691266	1	1	6	143
chr1	189206366	1	1	6	184
chr1	189722698	1	1	6	180
chr1	190230526	1	1	6	172
chr1	190739228	1	1	6	151
chr1	191250142	1	1	6	210
chr1	191758476	1	1	6	170
chr1	192266807	1	1	6	190
chr1	192785948	1	1	6	168
chr1	193292650	1	1	6	220
chr1	193805647	1	1	6	205
chr1	194326096	1	1	6	177
chr1	194833579	1	1	6	200
chr1	195343026	1	1	6	156
chr1	195851436	1	1	6	177
chr1	196372702	1	1	6	195
chr1	196944224	1	1	6	179
chr1	197450761	1	1	6	201
chr1	197973071	1	1	6	212
chr1	198488778	1	1	6	246
chr1	198991996	1	1	6	192
chr1	199499695	1	1	6	205
chr1	200017221	1	1	6	236
chr1	200523887	1	1	6	193
chr1	201032226	1	1	6	223
chr1	201540479	1	1	6	205
chr1	202047235	1	1	6	225
chr1	202602220	1	1	6	221
chr1	203110557	1	1	6	226
chr1	203621623	1	1	6	246
chr1	204130536	1	1	6	219
chr1	204634519	1	1	6	234
chr1	205137395	1	1	6	265
chr1	205900000	1	1.493834	6	244.337723
chr1	207103226	1	1	6	323
chr1	207612357	1	1	6	281
chr1	208178604	1	1	6	256
chr1	208680582	1	1	6	256
chr1	209192033	1	1	6	264
chr1	209702350	1	1	6	269
chr1	210213606	1	1	6	258
chr1	210722416	1	1	6	208
chr1	211246859	1	1	6	299
chr1	211762765	1	1	6	249
chr1	212271520	1	1	6	216
chr1	212782729	1	1	6	298
chr1	213303242	1	1	6	273
chr1	213820062	1	1	6	269
chr1	214323851	1	1	6	249
chr1	214827985	1	1	6	233
chr1	215338796	1	1	6	236
chr1	215850486	1	1	6	234
chr1	216366317	1	1	6	216
chr1	216872695	1	1	6	213
chr1	217374128	1	1	6	192
chr1	217888194	1	1	6	179
chr1	218396862	1	1	6	182
chr1	218907518	1	1	6	230
chr1	219413534	1	1	6	267
chr1	219938846	1	1	6	236
chr1	220463291	1	1	6	230
chr1	220971596	1	1	6	209
chr1	221479666	1	1	6	196
chr1	221985505	1	1	6	228
chr1	222497620	1	1	6	292
chr1	223053185	1	1	6	210
chr1	223700000	1	1.226482	6	234.817947
chr1	224100000	1	0.556002	6	210.430893
chr1	224727793	1	1	6	193
chr1	225238790	1	1	6	217
chr1	225762765	1	1	6	251
chr1	226274068	1	1	6	225
chr1	226782815	1	1	6	271
chr1	227292072	1	1	6	267
chr1	227814503	1	1	6	239
chr1	228337762	1	1	6	198
chr1	228889900	1	1	6	266
chr1	229398892	1	1	6	268
chr1	229906813	1	1	4	172
chr1	230410113	1	1	4	196
chr1	230920694	1	1	4	179
chr1	231427459	1	1	4	135
chr1	231936571	1	1	4	164
chr1	232456085	1	1	4	196
chr1	232962538	1	1	4	142
chr1	233467697	1	1	4	177
chr1	233976716	1	1	4	165
chr1	234487499	1	1	4	215
chr1	235018703	1	1	4	163
chr1	235581319	1	1	4	142
chr1	236087205	1	1	4	133
chr1	236596269	1	1	4	191
chr1	237105215	1	1	4	194
chr1	237621328	1	1	4	148
chr1	238130104	1	1	4	173
chr1	238639840	1	1	4	135
chr1	239146308	1	1	4	114
chr1	239650965	1	1	4	123
chr1	240165403	1	1	4	128
chr1	240670285	1	1	4	134
chr1	241178418	1	1	4	158
chr1	241686327	1	1	4	193
chr1	242191312	1	1	4	151
chr1	242757518	1	1	4	162
chr1	243200000	1	0.706068	4	184.118256
chr1	243844563	1	1	4	158
chr1	244351977	1	1	4	141
chr1	244866686	1	1	4	149
chr1	245372503	1	1	4	144
chr1	245881887	1	1	4	188
chr1	246398465	1	1	4	208
chr1	246923726	1	1	4	165
chr1	247451239	1	1	4	111
chr1	247975136	1	1	4	162
chr1	248600000	1	1.131758	4	204.990829
chr2	526314	1	1	6	221
chr2	1042851	1	1	6	246
chr2	1579547	1	1	6	259
chr2	2093400	1	1	6	202
chr2	2603725	1	1	6	200
chr2	3115921	1	1	6	257
chr2	3682977	1	1	6	231
chr2	4196801	1	1	4	164
chr2	4711820	1	1	4	183
chr2	5000000	1	0.55767	4	112.970039
chr2	5630575	1	1	4	145
chr2	6149818	1	1	4	163
chr2	6654352	1	1	4	149
chr2	7157051	1	1	4	168
chr2	7663202	1	1	4	205
chr2	8169298	1	1	4	163
chr2	8678698	1	1	4	161
chr2	9191078	1	1	4	141
chr2	9695235	1	1	4	162
chr2	10205644	1	1	4	191
chr2	10710582	1	1	4	175
chr2	11222237	1	1	4	204
chr2	11731222	1	1	4	168
chr2	12241906	1	1	4	183
chr2	12754413	1	1	4	193
chr2	13260696	1	1	4	130
chr2	13783832	1	1	4	105
chr2	14307180	1	1	4	137
chr2	14820512	1	1	4	144
chr2	15334375	1	1	4	169
chr2	15847185	1	1	4	191
chr2	16403686	1	1	4	143
chr2	16915789	1	1	4	171
chr2	17427230	1	1	4	191
chr2	17935303	1	1	4	141
chr2	18454860	1	1	4	136
chr2	18965546	1	1	4	169
chr2	19520506	1	1	4	145
chr2	20027014	1	1	4	151
chr2	20535648	1	1	4	153
chr2	21044291	1	1	4	172
chr2	21589322	1	1	4	204
chr2	22094774	1	1	4	199
chr2	22610192	1	1	4	103
chr2	23115057	1	1	4	84
chr2	23630098	1	1	4	181
chr2	24143921	1	1	4	211
chr2	24656322	1	1	4	146
chr2	25166461	1	1	4	131
chr2	25671174	1	1	4	133
chr2	26183357	1	1	4	162
chr2	26689750	1	1	4	108
chr2	27193994	1	1	4	175
chr2	27702151	1	1	4	170
chr2	28212528	1	1	4	165
chr2	28720254	1	1	4	162
chr2	29223888	1	1	4	138
chr2	29728725	1	1	4	149
chr2	30238326	1	1	4	171
chr2	30744045	1	1	4	174
chr2	31263932	1	1	4	150
chr2	31776572	1	1	4	135
chr2	32296310	1	1	4	127
chr2	32809553	1	1	4	110
chr2	33321000	1	1	4	133
chr2	33835865	1	1	4	161
chr2	34344371	1	1	4	165
chr2	34861718	1	1	4	137
chr2	35382265	1	1	4	164
chr2	35899823	1	1	4	136
chr2	36432299	1	1	4	168
chr2	36940253	1	1	4	137
chr2	37447540	1	1	4	166
chr2	37961677	1	1	4	141
chr2	38478998	1	1	4	192
chr2	38988879	1	1	4	122
chr2	39493991	1	1	4	118
chr2	40003061	1	1	4	119
chr2	40524433	1	1	4	160
chr2	41032404	1	1	4	144
chr2	41540585	1	1	4	109
chr2	42057064	1	1	4	193
chr2	42563083	1	1	4	183
chr2	43070733	1	1	4	126
chr2	43581877	1	1	4	155
chr2	44097222	1	1	4	114
chr2	44604190	1	1	4	105
chr2	45113173	1	1	4	125
chr2	45628463	1	1	4	158
chr2	46132241	1	1	4	148
chr2	46636931	1	1	4	169
chr2	47144851	1	1	4	161
chr2	47651797	1	1	4	144
chr2	48160770	1	1	4	148
chr2	48670547	1	1	4	122
chr2	49187081	1	1	4	163
chr2	49707948	1	1	4	166
chr2	50218195	1	1	4	163
chr2	50720594	1	1	4	104
chr2	51223532	1	1	4	123
chr2	51736157	1	1	4	163
chr2	52253837	1	1	4	118
chr2	52765793	1	1	4	94
chr2	53274279	1	1	4	147
chr2	53789239	1	1	4	182
chr2	54299377	1	1	4	104
chr2	54805514	1	1	4	172
chr2	55308479	1	1	4	154
chr2	55819936	1	1	4	124
chr2	56345261	1	1	4	110
chr2	56869236	1	1	4	131
chr2	57387821	1	1	4	135
chr2	57922729	1	1	4	125
chr2	58434159	1	1	4	107
chr2	58950274	1	1	4	103
chr2	59459180	1	1	4	159
chr2	59974627	1	1	4	168
chr2	60500383	1	1	4	149
chr2	61005826	1	1	4	168
chr2	61513104	1	1	4	146
chr2	62019473	1	1	4	135
chr2	62526403	1	1	4	122
chr2	63049862	1	1	4	141
chr2	63566883	1	1	4	160
chr2	64083785	1	1	4	113
chr2	64594926	1	1	4	155
chr2	65099606	1	1	4	177
chr2	65608695	1	1	4	148
chr2	66114412	1	1	4	158
chr2	66652897	1	1	4	146
chr2	67172181	1	1	4	145
chr2	67686682	1	1	4	142
chr2	68198823	1	1	4	178
chr2	68709650	1	1	4	130
chr2	69226490	1	1	4	192
chr2	69731245	1	1	4	155
chr2	70236776	1	1	4	176
chr2	70748981	1	1	4	167
chr2	71266160	1	1	4	164
chr2	71792047	1	1	4	136
chr2	72307928	1	1	4	192
chr2	72824129	1	1	4	154
chr2	73332686	1	1	4	159
chr2	73858731	1	1	4	133
chr2	74403464	1	1	4	166
chr2	74907676	1	1	4	151
chr2	75421260	1	1	4	157
chr2	75931950	1	1	4	117
chr2	76448350	1	1	4	119
chr2	76979157	1	1	4	132
chr2	77508128	1	1	4	110
chr2	78043071	1	1	4	133
chr2	78556089	1	1	4	132
chr2	79070906	1	1	4	128
chr2	79588245	1	1	4	157
chr2	80099822	1	1	4	131
chr2	80608165	1	1	4	129
chr2	81114408	1	1	4	122
chr2	81625427	1	1	4	146
chr2	82136834	1	1	4	146
chr2	82644377	1	1	4	136
chr2	83151118	1	1	4	107
chr2	83666546	1	1	4	129
chr2	84181293	1	1	4	151
chr2	84703085	1	1	4	180
chr2	85216244	1	1	4	159
chr2	85727950	1	1	4	186
chr2	86236839	1	1	4	173
chr2	86740491	1	1	4	170
chr2	87100000	1	0.595316	4	147.820648
chr2	88807458	1	1	4	145
chr2	89300000	1	0.926448	4	140.320877
chr2	95965772	1	1	4	163
chr2	96817564	1	1	4	194
chr2	97335361	1	1	4	200
chr2	97900000	1	0.876938	4	133.418777
chr2	98749652	1	1	4	153
chr2	99257460	1	1	4	126
chr2	99774288	1	1	4	127
chr2	100287018	1	1	4	148
chr2	100817273	1	1	4	190
chr2	101321381	1	1	4	177
chr2	101826957	1	1	4	134
chr2	102338963	1	1	4	160
chr2	102844157	1	1	4	151
chr2	103357226	1	1	4	198
chr2	103871243	1	1	4	152
chr2	104379113	1	1	4	161
chr2	104882542	1	1	4	127
chr2	105387540	1	1	4	140
chr2	105901065	1	1	4	138
chr2	106405634	1	1	4	200
chr2	107000000	1	1.120012	4	191.069366
chr2	107624346	1	1	4	186
chr2	108132013	1	1	4	158
chr2	108719552	1	1	4	159
chr2	109250234	1	1	4	165
chr2	109810161	1	1	4	137
chr2	110100000	1	0.569332	4	154.567108
chr2	112000000	1	1.180558	4	210.07016
chr2	113100000	1	0.9386	4	171.532074
chr2	113723391	1	1	4	175
chr2	114200000	1	0.85504	4	185.956207
chr2	114935036	1	1	4	116
chr2	115447162	1	1	4	151
chr2	115958681	1	1	4	131
chr2	116473230	1	1	4	144
chr2	116994828	1	1	4	122
chr2	117504391	1	1	4	163
chr2	118023012	1	1	4	145
chr2	118560583	1	1	4	170
chr2	119088687	1	1	4	159
chr2	119595645	1	1	4	161
chr2	120113638	1	1	4	202
chr2	120621564	1	1	4	148
chr2	121136683	1	1	4	134
chr2	121638846	1	1	4	173
chr2	122141913	1	1	4	167
chr2	122652236	1	1	4	170
chr2	123176725	1	1	4	160
chr2	123683582	1	1	4	161
chr2	124194122	1	1	4	134
chr2	124708250	1	1	4	111
chr2	125232367	1	1	4	147
chr2	125740497	1	1	4	145
chr2	126254901	1	1	4	151
chr2	126764656	1	1	4	179
chr2	127284086	1	1	4	157
chr2	127789010	1	1	4	132
chr2	128294713	1	1	4	147
chr2	128803421	1	1	4	121
chr2	129312196	1	1	4	163
chr2	129834936	1	1	4	187
chr2	130348183	1	1	4	190
chr2	130800000	1	0.827138	4	188.602142
chr2	132000000	1	0.887586	3	105.905228
chr2	132874469	1	1	3	68
chr2	133452057	1	1	3	231
chr2	133957602	1	1	3	109
chr2	134480633	1	1	3	131
chr2	134999533	1	1	3	132
chr2	135515304	1	1	3	146
chr2	136035193	1	1	3	81
chr2	136556948	1	1	3	89
chr2	137063949	1	1	3	106
chr2	137572995	1	1	3	130
chr2	138094576	1	1	3	107
chr2	138617014	1	1	3	77
chr2	139126112	1	1	3	156
chr2	139636646	1	1	3	114
chr2	140145865	1	1	3	103
chr2	140656866	1	1	3	115
chr2	141164836	1	1	3	101
chr2	141669749	1	1	3	87
chr2	142178467	1	1	3	70
chr2	142683739	1	1	3	102
chr2	143189953	1	1	3	112
chr2	143709821	1	1	3	105
chr2	144217641	1	1	3	107
chr2	144736536	1	1	3	112
chr2	145242961	1	1	3	110
chr2	145754028	1	1	3	95
chr2	146256900	1	1	3	145
chr2	146763794	1	1	3	83
chr2	147274748	1	1	3	123
chr2	147782214	1	1	3	70
chr2	148290841	1	1	3	106
chr2	148806871	1	1	3	115
chr2	149338843	1	1	3	133
chr2	149700000	1	0.692642	3	127.049767
chr2	150309737	1	1	3	110
chr2	150845968	1	1	3	116
chr2	151353473	1	1	3	90
chr2	151857305	1	1	3	120
chr2	152362985	1	1	3	117
chr2	152905083	1	1	3	105
chr2	153413464	1	1	3	113
chr2	153926290	1	1	3	99
chr2	154446499	1	1	3	117
chr2	154967007	1	1	3	107
chr2	155475163	1	1	3	91
chr2	155989328	1	1	3	92
chr2	156506474	1	1	3	76
chr2	157017905	1	1	3	122
chr2	157535202	1	1	3	93
chr2	158054555	1	1	3	100
chr2	158584390	1	1	3	119
chr2	159092176	1	1	3	143
chr2	159619518	1	1	3	119
chr2	160137915	1	1	3	98
chr2	160650384	1	1	3	85
chr2	161166968	1	1	3	121
chr2	161689087	1	1	3	114
chr2	162209490	1	1	3	159
chr2	162729265	1	1	3	99
chr2	163237489	1	1	3	121
chr2	163746346	1	1	3	100
chr2	164254248	1	1	3	102
chr2	164759210	1	1	3	108
chr2	165271774	1	1	3	83
chr2	165777808	1	1	3	89
chr2	166289738	1	1	3	85
chr2	166809759	1	1	3	121
chr2	167318642	1	1	3	94
chr2	167841028	1	1	3	91
chr2	168367167	1	1	3	100
chr2	168888729	1	1	3	102
chr2	169394708	1	1	3	110
chr2	169903801	1	1	3	104
chr2	170433647	1	1	3	113
chr2	170946389	1	1	3	87
chr2	171452304	1	1	3	88
chr2	171964305	1	1	3	84
chr2	172472813	1	1	3	76
chr2	172986346	1	1	3	91
chr2	173506296	1	1	3	97
chr2	174015079	1	1	3	105
chr2	174525957	1	1	3	130
chr2	175035430	1	1	3	100
chr2	175552043	1	1	3	93
chr2	176060298	1	1	3	97
chr2	176589577	1	1	3	101
chr2	177103642	1	1	3	101
chr2	177609672	1	1	3	125
chr2	178120515	1	1	3	106
chr2	178626611	1	1	3	117
chr2	179151619	1	1	3	97
chr2	179666324	1	1	3	84
chr2	180195558	1	1	3	145
chr2	180710358	1	1	3	87
chr2	181217744	1	1	3	112
chr2	181737298	1	1	3	112
chr2	182244611	1	1	3	97
chr2	182755876	1	1	3	93
chr2	183275100	1	1	3	81
chr2	183795258	1	1	3	102
chr2	184306603	1	1	3	96
chr2	184834664	1	1	3	108
chr2	185347858	1	1	3	74
chr2	185857492	1	1	3	90
chr2	186369458	1	1	3	70
chr2	186898263	1	1	3	107
chr2	187419419	1	1	3	98
chr2	187926496	1	1	3	113
chr2	188437917	1	1	3	92
chr2	188948512	1	1	3	105
chr2	189458085	1	1	3	99
chr2	189971751	1	1	3	78
chr2	190483153	1	1	3	77
chr2	190995937	1	1	3	90
chr2	191507422	1	1	3	92
chr2	192018681	1	1	3	109
chr2	192525113	1	1	3	95
chr2	193039156	1	1	3	94
chr2	193556074	1	1	3	86
chr2	194074957	1	1	3	85
chr2	194595502	1	1	3	106
chr2	195111551	1	1	3	67
chr2	195628548	1	1	3	75
chr2	196164456	1	1	3	119
chr2	196682443	1	1	3	114
chr2	197191853	1	1	3	109
chr2	197706636	1	1	3	123
chr2	198221973	1	1	3	117
chr2	198755732	1	1	3	125
chr2	199264641	1	1	3	146
chr2	199776797	1	1	3	91
chr2	200291235	1	1	3	123
chr2	200798041	1	1	3	139
chr2	201304699	1	1	3	128
chr2	201818307	1	1	3	135
chr2	202341867	1	1	3	96
chr2	202855870	1	1	3	108
chr2	203365275	1	1	3	113
chr2	203881379	1	1	3	82
chr2	204389392	1	1	3	76
chr2	204897766	1	1	3	121
chr2	205403534	1	1	3	116
chr2	205918919	1	1	3	95
chr2	206428455	1	1	3	152
chr2	206931700	1	1	3	142
chr2	207449830	1	1	3	107
chr2	207971308	1	1	3	101
chr2	208477783	1	1	3	141
chr2	208984755	1	1	3	111
chr2	209496120	1	1	3	86
chr2	210052212	1	1	3	132
chr2	210567934	1	1	3	82
chr2	211078197	1	1	3	126
chr2	211592821	1	1	3	100
chr2	212110560	1	1	3	87
chr2	212617656	1	1	3	97
chr2	213131168	1	1	3	54
chr2	213638829	1	1	3	95
chr2	214148791	1	1	3	117
chr2	214672087	1	1	3	114
chr2	215180346	1	1	3	77
chr2	215696212	1	1	3	148
chr2	216213803	1	1	3	111
chr2	216717424	1	1	3	85
chr2	217232217	1	1	3	116
chr2	217738477	1	1	3	150
chr2	218242728	1	1	3	121
chr2	218748522	1	1	3	145
chr2	219260828	1	1	3	129
chr2	219768495	1	1	3	107
chr2	220274384	1	1	3	121
chr2	220781498	1	1	3	104
chr2	221294035	1	1	3	144
chr2	221797364	1	1	3	91
chr2	222303702	1	1	3	117
chr2	222806023	1	1	3	94
chr2	223323532	1	1	3	109
chr2	223834340	1	1	3	169
chr2	224349820	1	1	3	103
chr2	224854509	1	1	3	93
chr2	225363064	1	1	3	120
chr2	225871931	1	1	3	102
chr2	226381796	1	1	3	112
chr2	226894275	1	1	3	96
chr2	227401662	1	1	3	138
chr2	227908077	1	1	3	113
chr2	228420232	1	1	3	69
chr2	228935797	1	1	3	78
chr2	229463905	1	1	3	88
chr2	229981313	1	1	3	162
chr2	230486164	1	1	3	121
chr2	230995631	1	1	3	127
chr2	231515449	1	1	3	118
chr2	232020559	1	1	3	114
chr2	232530367	1	1	3	95
chr2	233065983	1	1	3	132
chr2	233586709	1	1	3	126
chr2	234141845	1	1	3	134
chr2	234664839	1	1	3	134
chr2	235171938	1	1	3	114
chr2	235682229	1	1	3	129
chr2	236195058	1	1	3	173
chr2	236699923	1	1	3	149
